Season,Age,Squad,Comp,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
2022-2023,26,Manchester City,5 Leagues,56,52,4465,49.6,4,7,11,4,0,0,9,0,5.5,5.5,4.6,10.1,98.0,347.0,43.0,0.08,0.14,0.22,0.08,0.22,0.13,0.11,0.23,0.13,0.23,
2023-2024,27,Manchester City,5 Leagues,48,48,4167,46.3,9,13,22,9,0,0,10,1,4.9,4.9,4.9,9.7,115.0,495.0,76.0,0.19,0.28,0.48,0.19,0.48,0.12,0.12,0.24,0.12,0.24,
